iso2,region,subregion
af,Asia,Southern Asia
al,Europe,Southern Europe
dz,Africa,Northern Africa
ad,Europe,Southern Europe
ao,Africa,Sub-Saharan Africa
ag,Americas,Caribbean
ar,Americas,South America
am,Asia,Western Asia
au,Oceania,Australia and New Zealand
at,Europe,Western Europe
az,Asia,Western Asia
bs,Americas,Caribbean
bh,Asia,Western Asia
bd,Asia,Southern Asia
bb,Americas,Caribbean
by,Europe,Eastern Europe
be,Europe,Western Europe
bz,Americas,Central America
bj,Africa,Sub-Saharan Africa
bt,Asia,Southern Asia
bo,Americas,South America
ba,Europe,Southern Europe
bw,Africa,Sub-Saharan Africa
br,Americas,South America
bn,Asia,South-eastern Asia
bg,Europe,Eastern Europe
bf,Africa,Sub-Saharan Africa
bi,Africa,Sub-Saharan Africa
kh,Asia,South-eastern Asia
cm,Africa,Sub-Saharan Africa
ca,Americas,North America
cv,Africa,Sub-Saharan Africa
cf,Africa,Sub-Saharan Africa
td,Africa,Sub-Saharan Africa
cl,Americas,South America
cn,Asia,Eastern Asia
co,Americas,South America
km,Africa,Sub-Saharan Africa
cg,Africa,Sub-Saharan Africa
cd,Africa,Sub-Saharan Africa
cr,Americas,Central America
ci,Africa,Sub-Saharan Africa
hr,Europe,Southern Europe
cu,Americas,Caribbean
cy,Asia,Western Asia
cz,Europe,Eastern Europe
dk,Europe,Northern Europe
dj,Africa,Sub-Saharan Africa
dm,Americas,Caribbean
do,Americas,Caribbean
ec,Americas,South America
eg,Africa,Northern Africa
sv,Americas,Central America
gq,Africa,Sub-Saharan Africa
er,Africa,Sub-Saharan Africa
ee,Europe,Northern Europe
sz,Africa,Sub-Saharan Africa
et,Africa,Sub-Saharan Africa
fj,Oceania,Melanesia
fi,Europe,Northern Europe
fr,Europe,Western Europe
ga,Africa,Sub-Saharan Africa
gm,Africa,Sub-Saharan Africa
ge,Asia,Western Asia
de,Europe,Western Europe
gh,Africa,Sub-Saharan Africa
gr,Europe,Southern Europe
gd,Americas,Caribbean
gt,Americas,Central America
gn,Africa,Sub-Saharan Africa
gw,Africa,Sub-Saharan Africa
gy,Americas,South America
ht,Americas,Caribbean
hn,Americas,Central America
hu,Europe,Eastern Europe
is,Europe,Northern Europe
in,Asia,Southern Asia
id,Asia,South-eastern Asia
ir,Asia,Southern Asia
iq,Asia,Western Asia
ie,Europe,Northern Europe
il,Asia,Western Asia
it,Europe,Southern Europe
jm,Americas,Caribbean
jp,Asia,Eastern Asia
jo,Asia,Western Asia
kz,Asia,Central Asia
ke,Africa,Sub-Saharan Africa
ki,Oceania,Micronesia
kp,Asia,Eastern Asia
kr,Asia,Eastern Asia
kw,Asia,Western Asia
kg,Asia,Central Asia
la,Asia,South-eastern Asia
lv,Europe,Northern Europe
lb,Asia,Western Asia
ls,Africa,Sub-Saharan Africa
lr,Africa,Sub-Saharan Africa
ly,Africa,Northern Africa
li,Europe,Western Europe
lt,Europe,Northern Europe
lu,Europe,Western Europe
mg,Africa,Sub-Saharan Africa
mw,Africa,Sub-Saharan Africa
my,Asia,South-eastern Asia
mv,Asia,Southern Asia
ml,Africa,Sub-Saharan Africa
mt,Europe,Southern Europe
mh,Oceania,Micronesia
mr,Africa,Sub-Saharan Africa
mu,Africa,Sub-Saharan Africa
mx,Americas,Central America
fm,Oceania,Micronesia
md,Europe,Eastern Europe
mc,Europe,Western Europe
mn,Asia,Eastern Asia
me,Europe,Southern Europe
ma,Africa,Northern Africa
mz,Africa,Sub-Saharan Africa
mm,Asia,South-eastern Asia
na,Africa,Sub-Saharan Africa
nr,Oceania,Micronesia
np,Asia,Southern Asia
nl,Europe,Western Europe
nz,Oceania,Australia and New Zealand
ni,Americas,Central America
ne,Africa,Sub-Saharan Africa
ng,Africa,Sub-Saharan Africa
mk,Europe,Southern Europe
no,Europe,Northern Europe
om,Asia,Western Asia
pk,Asia,Southern Asia
pw,Oceania,Micronesia
ps,Asia,Western Asia
pa,Americas,Central America
pg,Oceania,Melanesia
py,Americas,South America
pe,Americas,South America
ph,Asia,South-eastern Asia
pl,Europe,Eastern Europe
pt,Europe,Southern Europe
qa,Asia,Western Asia
ro,Europe,Eastern Europe
ru,Europe,Eastern Europe
rw,Africa,Sub-Saharan Africa
kn,Americas,Caribbean
lc,Americas,Caribbean
vc,Americas,Caribbean
ws,Oceania,Polynesia
sm,Europe,Southern Europe
st,Africa,Sub-Saharan Africa
sa,Asia,Western Asia
sn,Africa,Sub-Saharan Africa
rs,Europe,Southern Europe
sc,Africa,Sub-Saharan Africa
sl,Africa,Sub-Saharan Africa
sg,Asia,South-eastern Asia
sk,Europe,Eastern Europe
si,Europe,Southern Europe
sb,Oceania,Melanesia
so,Africa,Sub-Saharan Africa
za,Africa,Sub-Saharan Africa
ss,Africa,Sub-Saharan Africa
es,Europe,Southern Europe
lk,Asia,Southern Asia
sd,Africa,Northern Africa
sr,Americas,South America
se,Europe,Northern Europe
ch,Europe,Western Europe
sy,Asia,Western Asia
tj,Asia,Central Asia
tz,Africa,Sub-Saharan Africa
th,Asia,South-eastern Asia
tl,Asia,South-eastern Asia
tg,Africa,Sub-Saharan Africa
to,Oceania,Polynesia
tt,Americas,Caribbean
tn,Africa,Northern Africa
tr,Asia,Western Asia
