iso2,name,vex_category,parent,kind
AU-ACT,AU-ACT,unique,AU,subdivision
AU-NSW,AU-NSW,british_ensign,AU,subdivision
AU-NT,AU-NT,unique,AU,subdivision
AU-QLD,AU-QLD,british_ensign,AU,subdivision
AU-SA,AU-SA,british_ensign,AU,subdivision
AU-TAS,AU-TAS,british_ensign,AU,subdivision
AU-VIC,AU-VIC,british_ensign,AU,subdivision
AU-WA,AU-WA,british_ensign,AU,subdivision
AX-self,Åland Islands,nordic_cross,AX,subdivision
BR-AC,BR-AC,unique,BR,subdivision
BR-AL,BR-AL,unique,BR,subdivision
BR-AM,BR-AM,unique,BR,subdivision
BR-AP,BR-AP,unique,BR,subdivision
BR-BA,BR-BA,horizontal_tricolor,BR,subdivision
BR-CE,BR-CE,unique,BR,subdivision
BR-DF,BR-DF,unique,BR,subdivision
BR-ES,BR-ES,horizontal_tricolor,BR,subdivision
BR-GO,BR-GO,stars_stripes,BR,subdivision
BR-MA,BR-MA,stars_stripes,BR,subdivision
BR-MG,BR-MG,saltire,BR,subdivision
BR-MS,BR-MS,unique,BR,subdivision
BR-MT,BR-MT,unique,BR,subdivision
BR-PA,BR-PA,horizontal_tricolor,BR,subdivision
BR-PB,BR-PB,unique,BR,subdivision
BR-PE,BR-PE,unique,BR,subdivision
BR-PI,BR-PI,stars_stripes,BR,subdivision
BR-PR,BR-PR,horizontal_tricolor,BR,subdivision
BR-RJ,BR-RJ,horizontal_tricolor,BR,subdivision
BR-RN,BR-RN,unique,BR,subdivision
BR-RO,BR-RO,horizontal_tricolor,BR,subdivision
BR-RR,BR-RR,horizontal_tricolor,BR,subdivision
BR-RS,BR-RS,horizontal_tricolor,BR,subdivision
BR-SC,BR-SC,horizontal_tricolor,BR,subdivision
BR-SE,BR-SE,stars_stripes,BR,subdivision
BR-SP,BR-SP,stars_stripes,BR,subdivision
BR-TO,BR-TO,horizontal_tricolor,BR,subdivision
CA-AB,CA-AB,british_ensign,CA,subdivision
CA-BC,CA-BC,british_ensign,CA,subdivision
CA-MB,CA-MB,british_ensign,CA,subdivision
CA-NB,CA-NB,british_ensign,CA,subdivision
CA-NL,CA-NL,unique,CA,subdivision
CA-NS,CA-NS,saltire,CA,subdivision
CA-NT,CA-NT,unique,CA,subdivision
CA-NU,CA-NU,unique,CA,subdivision
CA-ON,CA-ON,british_ensign,CA,subdivision
CA-PE,CA-PE,british_ensign,CA,subdivision
CA-QC,CA-QC,unique,CA,subdivision
CA-SK,CA-SK,british_ensign,CA,subdivision
CA-YT,CA-YT,unique,CA,subdivision
CH-AG,CH-AG,swiss_canton,CH,subdivision
CH-AI,CH-AI,swiss_canton,CH,subdivision
CH-AR,CH-AR,swiss_canton,CH,subdivision
CH-BE,CH-BE,swiss_canton,CH,subdivision
CH-BL,CH-BL,swiss_canton,CH,subdivision
CH-BS,CH-BS,swiss_canton,CH,subdivision
CH-FR,CH-FR,swiss_canton,CH,subdivision
CH-GE,CH-GE,swiss_canton,CH,subdivision
CH-GL,CH-GL,swiss_canton,CH,subdivision
CH-GR,CH-GR,swiss_canton,CH,subdivision
CH-JU,CH-JU,swiss_canton,CH,subdivision
CH-LU,CH-LU,swiss_canton,CH,subdivision
CH-NE,CH-NE,swiss_canton,CH,subdivision
CH-NW,CH-NW,swiss_canton,CH,subdivision
CH-OW,CH-OW,swiss_canton,CH,subdivision
CH-SG,CH-SG,swiss_canton,CH,subdivision
CH-SH,CH-SH,swiss_canton,CH,subdivision
CH-SO,CH-SO,swiss_canton,CH,subdivision
CH-SZ,CH-SZ,swiss_canton,CH,subdivision
CH-TG,CH-TG,swiss_canton,CH,subdivision
CH-TI,CH-TI,swiss_canton,CH,subdivision
CH-UR,CH-UR,swiss_canton,CH,subdivision
CH-VD,CH-VD,swiss_canton,CH,subdivision
CH-VS,CH-VS,swiss_canton,CH,subdivision
CH-ZG,CH-ZG,swiss_canton,CH,subdivision
CH-ZH,CH-ZH,swiss_canton,CH,subdivision
DE-BB,DE-BB,horizontal_tricolor,DE,subdivision
DE-BE,DE-BE,horizontal_tricolor,DE,subdivision
DE-BW,DE-BW,heraldic,DE,subdivision
DE-BY,DE-BY,heraldic,DE,subdivision
DE-HB,DE-HB,horizontal_tricolor,DE,subdivision
DE-HE,DE-HE,heraldic,DE,subdivision
DE-HH,DE-HH,horizontal_tricolor,DE,subdivision
DE-MV,DE-MV,horizontal_tricolor,DE,subdivision
DE-NI,DE-NI,heraldic,DE,subdivision
DE-NW,DE-NW,heraldic,DE,subdivision
DE-RP,DE-RP,horizontal_tricolor,DE,subdivision
DE-SH,DE-SH,heraldic,DE,subdivision
DE-SL,DE-SL,horizontal_tricolor,DE,subdivision
DE-SN,DE-SN,horizontal_tricolor,DE,subdivision
DE-ST,DE-ST,horizontal_tricolor,DE,subdivision
DE-TH,DE-TH,horizontal_tricolor,DE,subdivision
FO-self,Faroe Islands,nordic_cross,FO,subdivision
GB-ENG,GB-ENG,saltire,GB,subdivision
GB-NIR,GB-NIR,heraldic,GB,subdivision
GB-SCT,GB-SCT,saltire,GB,subdivision
GB-WLS,GB-WLS,unique,GB,subdivision
GL-self,Greenland,solid_emblem,GL,subdivision
JP-01,JP-01,japanese_geometric,JP,subdivision
JP-02,JP-02,japanese_geometric,JP,subdivision
JP-03,JP-03,japanese_geometric,JP,subdivision
JP-04,JP-04,japanese_geometric,JP,subdivision
JP-05,JP-05,japanese_geometric,JP,subdivision
JP-06,JP-06,japanese_geometric,JP,subdivision
JP-07,JP-07,japanese_geometric,JP,subdivision
JP-08,JP-08,japanese_geometric,JP,subdivision
JP-09,JP-09,japanese_geometric,JP,subdivision
JP-10,JP-10,japanese_geometric,JP,subdivision
JP-11,JP-11,japanese_geometric,JP,subdivision
JP-12,JP-12,japanese_geometric,JP,subdivision
JP-13,JP-13,japanese_geometric,JP,subdivision
JP-14,JP-14,japanese_geometric,JP,subdivision
JP-15,JP-15,japanese_geometric,JP,subdivision
JP-16,JP-16,japanese_geometric,JP,subdivision
JP-17,JP-17,japanese_geometric,JP,subdivision
JP-18,JP-18,japanese_geometric,JP,subdivision
JP-19,JP-19,japanese_geometric,JP,subdivision
JP-20,JP-20,japanese_geometric,JP,subdivision
JP-21,JP-21,japanese_geometric,JP,subdivision
JP-22,JP-22,japanese_geometric,JP,subdivision
JP-23,JP-23,japanese_geometric,JP,subdivision
JP-24,JP-24,japanese_geometric,JP,subdivision
JP-25,JP-25,japanese_geometric,JP,subdivision
JP-26,JP-26,japanese_geometric,JP,subdivision
JP-27,JP-27,japanese_geometric,JP,subdivision
JP-28,JP-28,japanese_geometric,JP,subdivision
JP-29,JP-29,japanese_geometric,JP,subdivision
JP-30,JP-30,japanese_geometric,JP,subdivision
JP-31,JP-31,japanese_geometric,JP,subdivision
JP-32,JP-32,japanese_geometric,JP,subdivision
JP-33,JP-33,japanese_geometric,JP,subdivision
JP-34,JP-34,japanese_geometric,JP,subdivision
JP-35,JP-35,japanese_geometric,JP,subdivision
JP-36,JP-36,japanese_geometric,JP,subdivision
JP-37,JP-37,japanese_geometric,JP,subdivision
JP-38,JP-38,japanese_geometric,JP,subdivision
JP-39,JP-39,japanese_geometric,JP,subdivision
JP-40,JP-40,japanese_geometric,JP,subdivision
JP-41,JP-41,japanese_geometric,JP,subdivision
JP-42,JP-42,japanese_geometric,JP,subdivision
JP-43,JP-43,japanese_geometric,JP,subdivision
JP-44,JP-44,japanese_geometric,JP,subdivision
JP-45,JP-45,japanese_geometric,JP,subdivision
JP-46,JP-46,japanese_geometric,JP,subdivision
JP-47,JP-47,japanese_geometric,JP,subdivision
US-AK,US-AK,unique,US,subdivision
US-AL,US-AL,us_state_seal,US,subdivision
US-AR,US-AR,us_state_seal,US,subdivision
US-AS,US-AS,us_state_seal,US,subdivision
US-AZ,US-AZ,unique,US,subdivision
US-CA,US-CA,unique,US,subdivision
US-CO,US-CO,unique,US,subdivision
US-CT,US-CT,us_state_seal,US,subdivision
US-DC,US-DC,unique,US,subdivision
US-DE,US-DE,us_state_seal,US,subdivision
US-FL,US-FL,us_state_seal,US,subdivision
US-GA,US-GA,us_state_seal,US,subdivision
US-GU,US-GU,us_state_seal,US,subdivision
US-HI,US-HI,british_ensign,US,subdivision
US-IA,US-IA,us_state_seal,US,subdivision
US-ID,US-ID,us_state_seal,US,subdivision
US-IL,US-IL,us_state_seal,US,subdivision
US-IN,US-IN,us_state_seal,US,subdivision
US-KS,US-KS,us_state_seal,US,subdivision
US-KY,US-KY,us_state_seal,US,subdivision
US-LA,US-LA,us_state_seal,US,subdivision
US-MA,US-MA,us_state_seal,US,subdivision
US-MD,US-MD,unique,US,subdivision
US-ME,US-ME,us_state_seal,US,subdivision
US-MI,US-MI,us_state_seal,US,subdivision
US-MN,US-MN,unique,US,subdivision
US-MO,US-MO,us_state_seal,US,subdivision
US-MP,US-MP,us_state_seal,US,subdivision
US-MS,US-MS,unique,US,subdivision
US-MT,US-MT,us_state_seal,US,subdivision
US-NC,US-NC,us_state_seal,US,subdivision
US-ND,US-ND,us_state_seal,US,subdivision
US-NE,US-NE,us_state_seal,US,subdivision
US-NH,US-NH,us_state_seal,US,subdivision
US-NJ,US-NJ,us_state_seal,US,subdivision
US-NM,US-NM,unique,US,subdivision
US-NV,US-NV,us_state_seal,US,subdivision
US-NY,US-NY,us_state_seal,US,subdivision
US-OH,US-OH,unique,US,subdivision
US-OK,US-OK,us_state_seal,US,subdivision
US-OR,US-OR,us_state_seal,US,subdivision
US-PA,US-PA,us_state_seal,US,subdivision
US-PR,US-PR,horizontal_tricolor,US,subdivision
US-RI,US-RI,us_state_seal,US,subdivision
US-SC,US-SC,unique,US,subdivision
US-SD,US-SD,us_state_seal,US,subdivision
US-TN,US-TN,unique,US,subdivision
US-TX,US-TX,unique,US,subdivision
US-UM,US-UM,us_state_seal,US,subdivision
US-UT,US-UT,us_state_seal,US,subdivision
US-VA,US-VA,us_state_seal,US,subdivision
US-VI,US-VI,us_state_seal,US,subdivision
US-VT,US-VT,us_state_seal,US,subdivision
US-WA,US-WA,us_state_seal,US,subdivision
US-WI,US-WI,us_state_seal,US,subdivision
US-WV,US-WV,us_state_seal,US,subdivision
US-WY,US-WY,us_state_seal,US,subdivision
