category,n,pixel_avg,palette,procedural_path,pix_to_un_pix,proc_to_un_pix,pix_emb_to_un,proc_emb_to_un,avg_emb_to_un,centroid_iso,centroid_name,nearest_isos,pixel_avg_path,cent_to_un_pix,cent_emb_to_un
all,197,<PIL.Image.Image image mode=RGB size=480x320 at 0x713BAFE1A1E0>,"['red', 'white', 'green', 'yellow', 'blue']",/home/rome/gt/flag2vec/out/averages/global_procedural.png,0.4322868883609772,0.5470442771911621,0.529691219329834,0.5253877639770508,0.3253910541534424,,,,,,
unique,41,,"['red', 'white', 'green', 'blue', 'dark_blue']",/home/rome/gt/flag2vec/out/averages/unique_procedural.png,0.41092681884765625,0.5470442771911621,0.5031136870384216,0.5253877639770508,0.3344457149505615,ph,Philippines,"['ph', 'ba', 'dj', 'sb', 'nr']",/home/rome/gt/flag2vec/out/averages/unique_pixel_mean.png,0.5804756283760071,0.3641008138656616
horizontal_tricolor,26,,"['red', 'white', 'green', 'yellow', 'blue']",/home/rome/gt/flag2vec/out/averages/horizontal_tricolor_procedural.png,0.4450341463088989,0.5470442771911621,0.5197409391403198,0.5253877639770508,0.4428032636642456,nl,Netherlands,"['nl', 'hu', 'lt', 'am', 'gm']",/home/rome/gt/flag2vec/out/averages/horizontal_tricolor_pixel_mean.png,0.5213856101036072,0.5225192308425903
pan_african,21,,"['green', 'red', 'yellow', 'black', 'dark_green']",/home/rome/gt/flag2vec/out/averages/pan_african_procedural.png,0.48810192942619324,0.6422945857048035,0.5640112161636353,0.4167494773864746,0.37012988328933716,gw,Guinea-Bissau,"['gw', 'cm', 'tg', 'bf', 'gh']",/home/rome/gt/flag2vec/out/averages/pan_african_pixel_mean.png,0.6201207041740417,0.43026041984558105
solid_emblem,18,,"['red', 'light_blue', 'white', 'green', 'dark_green']",/home/rome/gt/flag2vec/out/averages/solid_emblem_procedural.png,0.4133484959602356,0.6634766459465027,0.4010967016220093,0.5083208084106445,0.26280540227890015,fm,Micronesia,"['fm', 'ma', 'so', 'ca', 'pw']",/home/rome/gt/flag2vec/out/averages/solid_emblem_pixel_mean.png,0.37908822298049927,0.3685494661331177
star_crescent,12,,"['red', 'green', 'white', 'dark_green', 'light_blue']",/home/rome/gt/flag2vec/out/averages/star_crescent_procedural.png,0.45282337069511414,0.6726940870285034,0.36654210090637207,0.35288822650909424,0.3341825008392334,az,Azerbaijan,"['az', 'dz', 'tr', 'ly', 'km']",/home/rome/gt/flag2vec/out/averages/star_crescent_pixel_mean.png,0.5109187364578247,0.41489624977111816
heraldic,12,,"['red', 'yellow', 'white', 'blue', 'dark_blue']",/home/rome/gt/flag2vec/out/averages/heraldic_procedural.png,0.5021060109138489,0.6634766459465027,0.47776079177856445,0.5083208084106445,0.31069016456604004,es,Spain,"['es', 'ad', 'pt', 'bz', 'li']",/home/rome/gt/flag2vec/out/averages/heraldic_pixel_mean.png,0.7164918184280396,0.48276954889297485
vertical_tricolor,12,,"['red', 'green', 'white', 'yellow', 'dark_blue']",/home/rome/gt/flag2vec/out/averages/vertical_tricolor_procedural.png,0.502571165561676,0.5800671577453613,0.5120235681533813,0.5103068351745605,0.3988238573074341,ci,Cote d'Ivoire,"['ci', 'it', 'ie', 'fr', 'td']",/home/rome/gt/flag2vec/out/averages/vertical_tricolor_pixel_mean.png,0.5650293827056885,0.5038943290710449
latin_charge,10,,"['blue', 'white', 'red', 'light_blue', 'yellow']",/home/rome/gt/flag2vec/out/averages/latin_charge_procedural.png,0.39132562279701233,0.5235387682914734,0.39590561389923096,0.5199373364448547,0.3032454252243042,ni,Nicaragua,"['ni', 'py', 'sv', 've', 'hn']",/home/rome/gt/flag2vec/out/averages/latin_charge_pixel_mean.png,0.39196714758872986,0.3627725839614868
pan_arab,10,,"['red', 'white', 'black', 'green']",/home/rome/gt/flag2vec/out/averages/pan_arab_procedural.png,0.49520549178123474,0.587211012840271,0.45183461904525757,0.47783660888671875,0.4320058822631836,ps,Palestine,"['ps', 'sd', 'kw', 'sy', 'ae']",/home/rome/gt/flag2vec/out/averages/pan_arab_pixel_mean.png,0.5791309475898743,0.463978111743927
stars_stripes,9,,"['red', 'white', 'dark_blue', 'blue']",/home/rome/gt/flag2vec/out/averages/stars_stripes_procedural.png,0.4663247764110565,0.5990902781486511,0.5227034687995911,0.49614691734313965,0.3762194514274597,lr,Liberia,"['lr', 'my', 'us', 'cu', 'ws']",/home/rome/gt/flag2vec/out/averages/stars_stripes_pixel_mean.png,0.6153759360313416,0.45054662227630615
pan_slavic,8,,"['red', 'white', 'blue', 'dark_blue', 'green']",/home/rome/gt/flag2vec/out/averages/pan_slavic_procedural.png,0.5090427398681641,0.5554133653640747,0.43747544288635254,0.5372388362884521,0.3847818970680237,si,Slovenia,"['si', 'bg', 'ru', 'pl', 'hr']",/home/rome/gt/flag2vec/out/averages/pan_slavic_pixel_mean.png,0.6225481033325195,0.3910555839538574
communist_red,6,,"['red', 'blue', 'black', 'green', 'yellow']",/home/rome/gt/flag2vec/out/averages/communist_red_procedural.png,0.583023726940155,0.6935973763465881,0.5127884149551392,0.4048565626144409,0.33359062671661377,cn,China,"['cn', 'kp', 'vn', 'mn', 'by']",/home/rome/gt/flag2vec/out/averages/communist_red_pixel_mean.png,0.7371196746826172,0.3835909366607666
british_ensign,5,,"['dark_blue', 'light_blue', 'red', 'white']",/home/rome/gt/flag2vec/out/averages/british_ensign_procedural.png,0.45277169346809387,0.46539485454559326,0.35974836349487305,0.3344317078590393,0.3163953423500061,tv,Tuvalu,"['tv', 'au', 'nz', 'gb', 'fj']",/home/rome/gt/flag2vec/out/averages/british_ensign_pixel_mean.png,0.4401548504829407,0.3059394359588623
nordic_cross,5,,"['red', 'dark_blue', 'white', 'blue', 'yellow']",/home/rome/gt/flag2vec/out/averages/nordic_cross_procedural.png,0.41423970460891724,0.6272602677345276,0.4759162664413452,0.44744086265563965,0.4185088276863098,no,Norway,"['no', 'is', 'se', 'dk', 'fi']",/home/rome/gt/flag2vec/out/averages/nordic_cross_pixel_mean.png,0.6192635893821716,0.4505425691604614
saltire,2,,"['green', 'white', 'yellow', 'black', 'red']",/home/rome/gt/flag2vec/out/averages/saltire_procedural.png,0.5042487382888794,0.5510638356208801,0.4000641703605652,0.5282419919967651,0.37394893169403076,bi,Burundi,"['bi', 'jm']",/home/rome/gt/flag2vec/out/averages/saltire_pixel_mean.png,0.5630397200584412,0.39098936319351196
